city,temperature,humidity,description,icon_id
Omaha,46.922,65,scattered clouds,03n
city,temperature,humidity,description,icon_id
Omaha,46.922,65,scattered clouds,03n
city,temperature,humidity,description,icon_id
Los Angeles,63.104,74,clear sky,01n
city,temperature,humidity,description,icon_id
Paris,37.868,96,fog,50n
city,temperature,humidity,description,icon_id
Omaha,46.922,65,scattered clouds,03n
city,temperature,humidity,description,icon_id
Omaha,46.922,65,scattered clouds,03n
city,temperature,humidity,description,icon_id
Los Angeles,63.104,74,clear sky,01n
city,temperature,humidity,description,icon_id
Omaha,46.922,65,scattered clouds,03n
city,temperature,humidity,description,icon_id
Los Angeles,63.14,74,clear sky,01n
